fips,state,name,party_winner,trump_pct,margin,POPULATION_Total,AGE_18_29,AGE_30_44,AGE_45_59,AGE_60_Plus,AGE_18_Plus,RACE_Total__Asian_alone,RACE_Total__Black_or_African_American_alone,RACE_Total__Hispanic_or_Latino,RACE_Total__White_alone,GINI_Gini_Index,INCOME_PER_CAPITA_INCOME_IN_THE_PAST_12_MONTHS__IN_2018_INFLATION_ADJUSTED_DOLLARS_,UNEMPLOY__16_YEARS_AND_OVER__ASIAN_ALONE_,UNEMPLOY__16_YEARS_AND_OVER__BLACK_OR_AFRICAN_AMERICAN_ALONE_,UNEMPLOY__16_YEARS_AND_OVER__HISPANIC_OR_LATINO_,UNEMPLOY__16_YEARS_AND_OVER__WHITE_ALONE_,UNEMPLOY_Total_16_YEARS_AND_OVER,EDU_ATTAIN_Total__Bachelor_s_degree_or_higher,EDU_ATTAIN_Total__High_school_graduate__includes_equivalency_,EDU_ATTAIN_Total__Less_than_high_school_diploma,EDU_ATTAIN_Total__Some_college_or_associate_s_degree,INDUSTRY_Total__Agriculture__forestry__fishing_and_hunting__and_mining__Agriculture__forestry__fishing_and_hunting,INDUSTRY_Total__Agriculture__forestry__fishing_and_hunting__and_mining__Mining__quarrying__and_oil_and_gas_extraction,INDUSTRY_Total__Arts__entertainment__and_recreation__and_accommodation_and_food_services__Accommodation_and_food_services,INDUSTRY_Total__Arts__entertainment__and_recreation__and_accommodation_and_food_services__Arts__entertainment__and_recreation,INDUSTRY_Total__Construction,INDUSTRY_Total__Educational_services__and_health_care_and_social_assistance__Educational_services,INDUSTRY_Total__Educational_services__and_health_care_and_social_assistance__Health_care_and_social_assistance,INDUSTRY_Total__Information,INDUSTRY_Total__Manufacturing,INDUSTRY_Total__Professional__scientific__and_management__and_administrative__and_waste_management_services__Administrative_and_support_and_waste_management_services,INDUSTRY_Total__Professional__scientific__and_management__and_administrative__and_waste_management_services__Management_of_companies_and_enterprises,INDUSTRY_Total__Professional__scientific__and_management__and_administrative__and_waste_management_services__Professional__scientific__and_technical_services,INDUSTRY_Total__Public_administration,INDUSTRY_Total__Retail_trade,CITIZEN_Estimate__Total__Not_a_U_S__citizen,CITIZEN_Estimate__Total__U_S__citizen_by_naturalization,CITIZEN_Estimate__Total__U_S__citizen__born_in_the_United_States,HEALTH_INSURANCE_No_health_insurance_coverage,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_direct_purchase_health_insurance_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_employer_based_health_insurance_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_Medicaid_means_tested_public_coverage_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_Medicare_coverage_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_TRICARE_military_health_coverage_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_VA_Health_Care_only,VETERANS_Estimate__Total__Veteran
55115,wisconsin,Shawano,republican,0.6711637988233733,0.3557305259432919,41009,0.1541311250856111,0.20745906232488637,0.28852499844343443,0.3498848141460681,32122,0.002926186934575337,0.003755273232705016,0.02728669316491502,0.8912433855982833,0.4153,28051,0,1.867878712408941e-4,6.226262374696469e-5,0.015036423634891974,0.015285474129879833,0.14046447917315236,0.38440943901376,0.0737189465164062,0.25605504015939234,0.04844032127513853,4.0470705435527053e-4,0.03486706929830023,0.023286221281364795,0.042058402341074656,0.04349044268725484,0.08567337027582342,0.007409252225888799,0.12757611605753066,0.012545918685013386,7.471514849635764e-4,0.015534524624867692,0.024842786875038915,0.06098623996015192,0.006315686800458436,0.005706064522421907,0.9821502596990904,0.0650955731274516,0.07633397671377871,0.4548595977834506,0.05659672498599091,0.09887304651017993,0.004015939231679223,0.0030197372517277877,0.09127700641305024
55117,wisconsin,Sheboygan,republican,0.5698074329954699,0.15920488462645632,115205,0.17871863799283155,0.23312051971326164,0.2780241935483871,0.3101366487455197,89280,0.05595243262011197,0.018480100690074216,0.062219521722147474,0.8924786250596762,0.4092,30151,0.002116935483870968,0.0015344982078853047,0.0024417562724014337,0.020340501792114694,0.0264336917562724,0.21540098566308244,0.3338597670250896,0.07367831541218638,0.29714381720430105,0.011245519713261648,0.0010080645161290322,0.04125224014336917,0.010371863799283154,0.034162186379928315,0.0421594982078853,0.080969982078853045,0.007022849462365591,0.21841397849462366,0.01730510752688172,6.832437275985663e-4,0.020934139784946237,0.015008960573476702,0.07442876344086022,0.022611865804435572,0.034703354889110714,0.9365999739594636,0.04913754480286738,0.06201836917562724,0.5268481182795699,0.05151209677419355,0.06925403225806452,0.0029905913978494625,0.0014448924731182795,0.07825940860215054
55109,wisconsin,St. Croix,republican,0.5678134974518138,0.15886927539809903,87917,0.16974333134838837,0.27247186722245126,0.3011619562395981,0.25662284518956224,65493,0.010760148776687102,0.007643572915363354,0.023010339297291765,0.9584266979082544,0.3935,37419,1.374192661811186e-4,2.901073397156948e-4,4.275266058968134e-4,0.017711816530010843,0.01856686974180447,0.301925396607271,0.2326050112225734,0.03424793489380545,0.32965355076115005,0.015940634877009755,0.001252042202983525,0.04038599544989541,0.013696120196051487,0.05325760004886018,0.0550898569312751,0.10036187073427695,0.01065762753271342,0.1384270074664468,0.020078481669796772,0.0023972027544928464,0.0391644908616188,0.026079122959705617,0.07640511199670194,0.008940250463505352,0.01573074604456476,0.9708133808023477,0.04533308903241568,0.05925824133876903,0.6045073519307407,0.03484341838059029,0.03594277251003924,0.004824943123692608,0.0021223642221306093,0.07325973768188966
55119,wisconsin,Taylor,republican,0.716491950580307,0.4644327967053538,20356,0.15168938561922604,0.21577621293365204,0.2939466373796757,0.33858776406744623,15479,0.0015720180782078995,0.004961682059343682,0.01984672823737473,0.9747003340538416,0.4165,26881,0,0,3.876219394017701e-4,0.024161767556043674,0.024549389495445443,0.13360036178047677,0.4077782802506622,0.10659603333548678,0.2595774920860521,0.06318237612248853,0.001421280444473157,0.031591188061244266,0.0027779572323793525,0.045222559596873185,0.03940823050584663,0.07416499773887202,0.006460365656696169,0.1912268234382066,0.019704115252923315,1.9381096970088506e-4,0.010013566767879062,0.014406615414432456,0.05491310808191743,0.01016899194340735,0.005354686578895657,0.9813322853212813,0.07254990632469797,0.09134957038568382,0.4500936753020221,0.07616771109244783,0.05626978486982363,0.002067317010142774,0.0014858841010401188,0.08398475353705019
55121,wisconsin,Trempealeau,republican,0.5803547963206307,0.16741130091984224,29438,0.16382344976983482,0.23531004603303549,0.2789962993049914,0.3218702048921383,22158,0.005265303349412324,0.005231333650383857,0.07948909572661186,0.923704055982064,0.397,27733,0,4.0617384240454913e-4,0.0015795649426843578,0.019992779131690584,0.021978517916779492,0.17618918674970666,0.3535517645996931,0.09712067876162109,0.284998646087192,0.042512862171676144,0.008078346421157144,0.02771008213737702,0.005460781658994494,0.045581731203177184,0.047341817853596896,0.08895207148659626,0.006904955320877335,0.19139814062641033,0.014125823630291542,5.866955501399044e-4,0.018277822908204712,0.018999909739146132,0.06449138008845563,0.03064066852367688,0.012364970446361844,0.9534954820300292,0.07121581370159762,0.05690946836357072,0.5073111291632819,0.05203538225471613,0.057676685621445976,0.004151999277913169,0.003023738604567199,0.07789511688780576
55123,wisconsin,Vernon,republican,0.5164006535126304,0.047819529973608166,30516,0.15564426702151252,0.20860501219782657,0.28254601907296517,0.35320470170769575,22545,0.005243151133831433,0.00258880587232927,0.015598374623148512,0.9726045353257308,0.4528,26726,0,4.435573297848747e-5,2.661343978709248e-4,0.016189842537147926,0.016500332667997337,0.19711687735639832,0.33958749168330005,0.10361499223774673,0.2629851408294522,0.043512974051896205,0.0023952095808383233,0.02821024617431803,0.005854956753160346,0.04630738522954092,0.048835662009314704,0.1108006209802617,0.01086715457972943,0.09230428032823243,0.012996229762696829,8.871146595697493e-5,0.015524506542470614,0.016234198270126413,0.0675981370592149,0.004915454187966968,0.007471490365709791,0.9828614497312885,0.11119982257706809,0.05810601020181858,0.4349966733200266,0.06098913284542027,0.0675981370592149,0.0030605455755156356,0.005278332224440009,0.08210246174318031
55125,wisconsin,Vilas,republican,0.6025766152644935,0.21849176914568286,21593,0.110267213660051,0.15023838563033595,0.2578445503936135,0.48164985031599955,18038,0.005742601769091835,0.003751215671745473,0.024730236650766454,0.8675496688741722,0.4717,31206,0,0,5.5438518682780794e-5,0.03270872602284067,0.03276416454152345,0.24636877702627785,0.2684887459807074,0.052777469786007315,0.2981483534759951,0.01180840447943231,1.6631555604834238e-4,0.06597183723250914,0.025501718594079167,0.05432974830912518,0.02644417341168644,0.06098237055105887,0.010256125956314447,0.02139926821155339,0.027331189710610933,0,0.018959973389511033,0.026111542299589754,0.07545182392726467,0.005742601769091835,0.012457740934562127,0.9785578659750845,0.06807850094245482,0.11597738108437743,0.26882137709280407,0.10666370994567025,0.08282514691207452,0.0014968400044350816,0.004268765938574121,0.11608825812174299
55127,wisconsin,Walworth,republican,0.5876909722222222,0.1920486111111111,103013,0.22733898263211205,0.21171282456703808,0.2729204239444623,0.2880277688563876,80954,0.01021230330152505,0.010066690611864522,0.1103938337879685,0.9330278702688011,0.431,30593,2.8411196481952715e-4,7.535143414778763e-4,0.003520517824937619,0.02620006423400944,0.03075820836524446,0.23909874743681597,0.27629270943992884,0.10220619117029424,0.2616918249870297,0.01783729031301727,6.917508708649356e-4,0.06315932504879314,0.012426810287323665,0.04964547767868172,0.06441929984929713,0.07994663636139042,0.008140425426785582,0.12663982014477357,0.024507745139214863,4.1999160016799666e-4,0.025137732539466856,0.017676705289423625,0.07619141734812362,0.03815052469105841,0.024132876433071555,0.9306106996204363,0.0838130296217605,0.08292363564493416,0.47702398893198605,0.060244089235862344,0.05741532228178966,0.002828766954072683,0.0018776095066333968,0.06627220396768535
55129,wisconsin,Washburn,republican,0.6103295432645982,0.23771439583734827,15689,0.11793495421534575,0.18045468898010736,0.276365645721503,0.4252447110830439,12668,0.005481547581107782,0.004334246924596851,0.017783160175919435,0.9557014468736057,0.4543,29336,0,1.5787811809283233e-4,0,0.021234606883485947,0.02139248500157878,0.20618882222923904,0.32807072939690557,0.07017682349226398,0.30991474581622985,0.021550363119671612,6.315124723713293e-4,0.03299652668140196,0.0076570887275023685,0.045626776128828546,0.04815282601831386,0.08414903694347964,0.00576255131038838,0.09062203978528575,0.014524786864540574,8.683296495105778e-4,0.015393116514051152,0.03110198926428797,0.06338806441427218,0.005162852954299191,0.005545286506469501,0.9854037860921665,0.058967477107672875,0.07514998421218819,0.36888222292390277,0.09149036943479634,0.08943795389958951,0.00639406378275971,0.002841806125670982,0.11359330596779287
55131,wisconsin,Washington,republican,0.6839672987396389,0.38136709435676164,134535,0.15628477151517478,0.2321010628093466,0.3106127460384453,0.30100141963703336,104252,0.012546920875608578,0.01224216746571524,0.031077414799122904,0.949462965027688,0.4098,37631,4.796071058588804e-5,1.5347427387484174e-4,0.0015731113072171277,0.01945286421363619,0.021227410505314046,0.2780953842612132,0.27723209147066724,0.05017649541495607,0.3060756628170203,0.008172505083835322,0.0013237156121705099,0.0369681157196025,0.012134059778229674,0.043778536622798604,0.043960787323024976,0.0974082031999386,0.009966235659747535,0.16341173310823773,0.021217818363196868,0.001390860606990753,0.03511683229098722,0.022714192533476577,0.07809922111806009,0.009343293566729848,0.018329802653584568,0.9677481696212882,0.042483597436979624,0.05409008939876453,0.5614760388289913,0.03788896136285155,0.07112573379887197,0.003740935425699267,0.002158231976364962,0.07904884318766067
55133,wisconsin,Waukesha,republican,0.5957141151360468,0.20799937312497196,398879,0.1620184771156169,0.22708349394803792,0.2924825893660216,0.31841543957032353,311304,0.03470977414203305,0.01604496601726338,0.04630226208950584,0.9231671760107701,0.4462,44301,3.4371546783851155e-4,4.0153676149358826e-4,0.0016093593400663018,0.018480327910980907,0.020834939480379306,0.39747963405545705,0.21187328142266082,0.038749903631177245,0.2671761365096497,0.002078354277490813,8.127104052630226e-4,0.03831945622285612,0.013979903888160769,0.039064708452188214,0.05734908642356025,0.10169480636291214,0.011824454552463188,0.124749441060828,0.021111196772286896,0.0016575437514455324,0.05009572636394007,0.015457559170457174,0.07408835093670496,0.022076870429378333,0.02993639675189719,0.939941686576631,0.031172101868270245,0.06346850666872253,0.580467967003315,0.03260478503327937,0.0687752165086218,0.0030324056227995786,0.002120114100686146,0.06903541233006964
55135,wisconsin,Waupaca,republican,0.6506007552351528,0.31750772399588056,51444,0.15317834020011772,0.2109083774769472,0.2886992348440259,0.34721404747890916,40776,0.0033628800248814246,0.005656636342430604,0.030557499416841615,0.9633582147577949,0.4155,30627,9.809691975671964e-5,1.4714537963507945e-4,6.866784382970375e-4,0.019815577790857367,0.020747498528546203,0.17034530115754365,0.38937119874435944,0.07820776927604474,0.27305277614282913,0.02513733568765941,6.131057484794977e-4,0.03847851677457328,0.008387286639199529,0.03857661369433,0.035167745732783993,0.09858740435550324,0.007651559741024131,0.18734059250539534,0.015082401412595644,4.659603688444183e-4,0.016921718658034136,0.02153227388659996,0.05890720031391014,0.012693414197962834,0.007561620402768058,0.9745742943783532,0.05814694918579556,0.06925642534824407,0.47574553659015106,0.056675495389444774,0.07825681773592309,0.0014224053364724348,0.004169119089660584,0.1088875809299588
55137,wisconsin,Waushara,republican,0.6645047169811321,0.3410966981132076,24116,0.13352692444852005,0.19038157827703908,0.28457893932446887,0.391512557949972,19629,0.003566097196881738,0.018037817216785535,0.06319455962846243,0.9298805772101509,0.4318,27347,0,0,0.0010189006062458607,0.021753527943349126,0.02277242854959499,0.14442916093535077,0.3878954607977992,0.13699118650975597,0.26180651077487394,0.03520301594579449,0.0011717356971827398,0.03907483824952876,0.00855876509246523,0.041214529522645066,0.03469356564267156,0.06928524122471853,0.007387029395282491,0.10657700341331704,0.014519333639003516,2.0378012124917214e-4,0.01074940139589383,0.026032910489581743,0.05201487594885119,0.017747553491457953,0.012356941449659977,0.965624481671919,0.07076264710377503,0.06118498140506393,0.37622904885628405,0.06515869376942279,0.08553670589434001,0.0020887462428040146,0.005094503031229303,0.1082581894136227
55139,wisconsin,Winnebago,republican,0.5076040781648258,0.03967714528462185,169926,0.2372363237050832,0.2312931731675286,0.26477069529667524,0.26669980783071295,134777,0.026964678742511447,0.022533338041265023,0.03995268528653649,0.9214069653849323,0.4717,33000,2.967865436981087e-4,0.0011797265111999822,7.790646772075354e-4,0.020411494542837427,0.022667072274943054,0.23200546087240403,0.28560511066428246,0.06570112111116883,0.2720642246080563,0.005245702159864072,9.645562670188533e-5,0.04509671531492762,0.008836819338611187,0.02672562826001469,0.049303664571848316,0.09284967019595332,0.00925232049978854,0.15693330464396743,0.03054675501012784,5.78733760211312e-4,0.024113906675471333,0.021027326621011002,0.07706062607121393,0.017054482539458352,0.018172616315337266,0.9582994950743264,0.04891042240144832,0.05180409120250488,0.5285916736535166,0.058837932288150055,0.0661759795810858,0.002344613695215059,0.004377601519547103,0.08479933519814212
55141,wisconsin,Wood,republican,0.5885999322001065,0.19233376918979128,73274,0.16068379047154357,0.2177708848848151,0.2877879622207507,0.3337573624228906,57386,0.020703114337964353,0.006059448098916396,0.02895979474301935,0.9422441793814996,0.4218,30006,4.00794618896595e-4,8.712926497752065e-4,0.0018122887115324296,0.022723312306137385,0.025807688286341616,0.19558777402153835,0.3422786045376921,0.06580002091102359,0.30193775485310004,0.021207263095528527,0.0016903077405639006,0.03387585822326003,0.007684801171017322,0.03722162199839682,0.037483009793329386,0.12814972292893737,0.0101244205903879,0.12393266650402537,0.015003659429129056,3.485170599100826e-5,0.0189941797650995,0.01822744223329732,0.07195134701843656,0.012651145017332206,0.011723121434615279,0.971490569642711,0.04969853274317778,0.07318858258111735,0.4626738228836302,0.07658662391524065,0.05957899139162862,0.004948942250723173,0.004826961279754644,0.09561565538633116
21001,kentucky,Adair,republican,0.8298357664233577,0.6710766423357664,19241,0.22419396775871034,0.20683827353094122,0.25721528861154447,0.31175247009880397,15384,0.0034301751468218907,0.032794553297645655,0.018865963307520398,0.9459487552622005,0.4696,20166,0,0.004095163806552262,1.3000520020800833e-4,0.03029121164846594,0.034516380655226206,0.13839053562142486,0.3297581903276131,0.18389235569422777,0.19884295371814872,0.01280551222048882,0.0039001560062402497,0.03497139885595424,0.002405096203848154,0.049596983879355176,0.06708268330733229,0.07403796151846073,0.0062402496099844,0.09873894955798232,0.012285491419656786,0,0.009555382215288611,0.0203458138325533,0.05570722828913156,0.01086222129826932,0.0010914193648978742,0.9857595759056182,0.07052782111284452,0.07280291211648465,0.3622594903796152,0.14164066562662506,0.08151326053042121,0.0039001560062402497,0.0021450858034321374,0.06311752470098804
